                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 0.8729,                0.74076,                0.96992,                0.95149,                0.81326,                0.90654,                0.53571,                 1.6325,                0.78847,                 1.0547,              0.0095892,              0.0095892,              0.0095892
                     85,                0.87677,                0.75058,                0.96309,                0.95133,                 0.8175,                0.90785,                0.57922,                 1.4479,                0.73576,                 1.0082,              0.0095842,              0.0095842,              0.0095842
                     86,                0.86212,                0.74198,                  0.956,                0.95837,                0.80104,                0.90295,                0.53978,                 1.6105,                0.78367,                 1.0486,              0.0095793,              0.0095793,              0.0095793
                     87,                0.86409,                 0.7546,                 0.9578,                0.95455,                0.80938,                0.90526,                0.58976,                 1.3999,                0.73367,                0.99532,              0.0095743,              0.0095743,              0.0095743
                     88,                 0.8668,                0.75852,                 0.9633,                0.95791,                0.80688,                0.90691,                0.59529,                 1.3868,                 0.7407,                0.98738,              0.0095694,              0.0095694,              0.0095694
                     89,                0.85917,                0.74486,                 0.9627,                0.95223,                0.81042,                0.90513,                0.61527,                 1.3085,                0.72711,                0.97424,              0.0095644,              0.0095644,              0.0095644
                     90,                0.85683,                0.74117,                0.95071,                0.94312,                0.81188,                0.90471,                0.56694,                 1.5065,                0.75171,                 1.0188,              0.0095595,              0.0095595,              0.0095595
                     91,                0.85432,                0.75779,                0.96333,                0.95126,                0.81312,                0.90668,                0.57067,                 1.4868,                0.75804,                   1.01,              0.0095545,              0.0095545,              0.0095545
                     92,                0.84651,                0.74966,                0.95684,                0.94417,                0.80833,                0.90248,                 0.5694,                  1.481,                0.75471,                 1.0094,              0.0095496,              0.0095496,              0.0095496
                     93,                0.83753,                 0.7254,                0.95071,                0.93611,                  0.825,                0.90725,                0.54845,                 1.6115,                0.78598,                 1.0415,              0.0095446,              0.0095446,              0.0095446
                     94,                0.84676,                0.75594,                0.95869,                0.95086,                0.81428,                0.90863,                0.58224,                 1.4523,                0.72717,                 1.0021,              0.0095397,              0.0095397,              0.0095397
                     95,                0.84315,                0.73526,                0.94731,                 0.9515,                0.81625,                0.90935,                0.58686,                 1.4305,                0.72598,                0.99215,              0.0095347,              0.0095347,              0.0095347
                     96,                0.83374,                0.70957,                0.94753,                0.96119,                0.80854,                0.90678,                0.58965,                 1.4097,                0.74588,                0.99095,              0.0095298,              0.0095298,              0.0095298
                     97,                0.85126,                0.74978,                 0.9492,                0.94322,                0.82028,                0.91019,                0.56524,                 1.5358,                0.74498,                  1.018,              0.0095248,              0.0095248,              0.0095248
                     98,                0.83219,                0.72785,                0.93874,                0.94864,                0.81962,                0.91095,                0.58531,                 1.4418,                0.73255,                0.99625,              0.0095198,              0.0095198,              0.0095198
                     99,                0.84259,                0.72924,                0.95027,                0.95065,                0.81461,                0.90998,                0.53314,                 1.6735,                0.76319,                 1.0552,              0.0095149,              0.0095149,              0.0095149
                    100,                0.83368,                0.73828,                0.94694,                0.94556,                0.81729,                0.90914,                  0.596,                  1.393,                0.72292,                0.98507,                0.00951,                0.00951,                0.00951
                    101,                0.84525,                0.74615,                0.95137,                0.95303,                0.81587,                0.91121,                0.59278,                 1.4133,                0.71469,                0.99378,               0.009505,               0.009505,               0.009505
                    102,                0.83305,                0.74978,                0.94327,                 0.9466,                0.81875,                0.90901,                  0.572,                 1.4987,                0.74633,                 1.0076,                 0.0095,                 0.0095,                 0.0095
                    103,                0.82632,                0.73479,                0.95077,                0.94253,                0.80292,                0.90209,                0.55538,                 1.5662,                0.78028,                 1.0246,              0.0094951,              0.0094951,              0.0094951
                    104,                0.83072,                0.72719,                0.94056,                0.95494,                0.80875,                0.90664,                 0.5964,                  1.383,                0.72802,                0.97821,              0.0094902,              0.0094902,              0.0094902
                    105,                0.84178,                0.75499,                0.94772,                0.94337,                0.82944,                0.91237,                0.60966,                 1.3523,                0.69458,                0.96719,              0.0094852,              0.0094852,              0.0094852
                    106,                0.81188,                0.71125,                0.93574,                0.95183,                0.81504,                   0.91,                0.57483,                 1.4935,                0.73403,                 1.0021,              0.0094803,              0.0094803,              0.0094803
                    107,                0.82143,                0.73766,                0.93551,                0.93255,                  0.815,                0.90592,                0.57314,                 1.4827,                0.74569,                0.99726,              0.0094753,              0.0094753,              0.0094753
                    108,                0.79922,                0.70032,                0.93126,                 0.9532,                0.81895,                 0.9117,                0.57974,                 1.4634,                0.73254,                0.99348,              0.0094704,              0.0094704,              0.0094704
                    109,                 0.8043,                0.73812,                0.93905,                0.95155,                0.81125,                0.90958,                 0.5815,                  1.451,                0.72652,                0.99209,              0.0094654,              0.0094654,              0.0094654
                    110,                0.81138,                0.72532,                0.93713,                0.94778,                0.81673,                0.91035,                 0.5695,                 1.5366,                0.75001,                 1.0095,              0.0094605,              0.0094605,              0.0094605
                    111,                0.80696,                0.71654,                0.93397,                0.95629,                0.81128,                0.90975,                0.58339,                 1.4442,                0.72411,                0.98902,              0.0094555,              0.0094555,              0.0094555
                    112,                0.81096,                0.71215,                0.93534,                0.95483,                0.81833,                 0.9116,                0.59154,                 1.4051,                0.71513,                0.97586,              0.0094506,              0.0094506,              0.0094506
                    113,                0.81098,                 0.7174,                0.93309,                0.94318,                0.81953,                0.90955,                0.60414,                 1.3609,                0.70768,                0.97274,              0.0094456,              0.0094456,              0.0094456
                    114,                0.82628,                0.73087,                0.94403,                0.95306,                0.81218,                0.90869,                0.58325,                 1.4501,                0.74443,                0.98913,              0.0094407,              0.0094407,              0.0094407
                    115,                0.80834,                0.71938,                0.94033,                0.95573,                0.81771,                0.91395,                0.58183,                 1.4661,                0.71962,                0.99308,              0.0094357,              0.0094357,              0.0094357
                    116,                0.80871,                0.71268,                0.93476,                0.95779,                0.81688,                 0.9125,                0.59272,                 1.4107,                0.71961,                0.97761,              0.0094307,              0.0094307,              0.0094307
                    117,                0.80956,                0.72652,                0.94136,                 0.9603,                 0.8125,                0.91239,                0.61937,                 1.3102,                0.68626,                0.95401,              0.0094258,              0.0094258,              0.0094258
